V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1,10003,1,3,4,4200,B004,1,1,S133,3,0,69000,5,14.85,1636,57,0
1,10005,1,1,4,12000,B009,0,1,S133,3,0,180000,5,14.85,4268,44,0
1,10001,1,3,4,4000,B002,1,1,S133,3,0,61000,4,14.85,1693,57,0
1,10097,3,3,4,3000,B003,0,1,S133,2,0,60000,5,13.99,1396,31,0
0,10001,1,1,4,4000,B002,1,0,S133,2,0,40000,4,19.18,1103,52,0
1,10002,1,1,1,3363.7,B002,1,1,S122,6,0,56000,5,19.18,1103,63,0
0,10007,1,2,4,3000,B001,1,0,S133,2,0,40000,4,19.18,1103,47,0
1,10003,1,3,3,4000,B002,1,1,S133,2,446.5,5000,5,14.85,119,54,0
1,10007,1,1,4,2910,B021,1,1,S133,3,0,44000,5,19.18,1103,55,0
1,10003,1,1,4,3000,B004,1,1,S122,2,0,5000,3,31,215,34,0
1,10003,1,1,4,3000,B004,1,1,S122,2,0,10000,3,19.18,1103,43,0
0,10003,1,2,4,5000,B004,1,0,S122,2,0,40000,4,19.18,1103,70,0
0,10001,1,1,4,1000,B002,1,0,S133,2,500,40000,4,19.18,1103,43,0
0,10004,1,1,4,1100,B016,0,0,S133,5,550,40000,4,19.18,1103,33,0
0,10003,1,3,3,4000,B002,1,0,S122,2,446.5,40000,4,19.18,1103,39,0
1,10003,1,1,4,4500,B002,1,1,S133,2,0,94000,5,19.18,1103,58,0
1,10712,3,1,4,2500,B002,1,1,S133,2,0,30000,5,20,795,63,0
0,10003,1,1,4,1800,B002,1,1,S133,2,0,11000,1,19.18,1103,42,0
1,10003,1,1,4,2000,B033,0,1,S133,3,0,29000,5,20,768,50,0
1,10006,1,3,3,2500,B005,1,1,S122,2,0,20000,3,14.75,691,45,0
1,10001,1,1,4,2000,B001,1,1,S133,2,0,10000,5,19.18,1103,54,0
1,10015,3,1,4,2470,B028,1,1,S122,2,0,29000,4,24,945,70,0
0,10023,2,1,4,1700,B008,0,0,S133,3,0,40000,4,19.18,1103,59,0
1,10027,1,2,4,2000,B004,1,1,S122,2,0,10000,5,18.5,257,44,0
1,10013,2,1,3,2380,B033,0,1,S133,3,0,35000,5,19.18,1103,40,0
0,10003,1,1,4,1500,B002,1,0,S159,2,0,40000,4,19.18,1103,38,0
1,10001,1,1,1,2500,B003,0,1,S133,3,0,36000,5,19.18,1103,68,0
1,10005,1,2,4,1826.3,B005,1,1,S133,5,500,20000,5,18.5,513,46,0
0,10001,1,1,4,3000,B003,0,1,S137,2,500,10000,1,19.18,1103,48,0
1,10020,1,3,4,2100,B047,1,1,S159,3,0,30000,5,32.5,1017,35,0
1,10036,3,3,4,3500,B002,1,1,S159,3,0,54000,5,16.75,1335,64,0
1,10004,1,3,4,2000,B004,1,1,S133,2,0,30000,4,16.75,862,52,0
0,10020,1,2,4,1200,B008,0,0,S122,3,0,40000,4,19.18,1103,69,0
0,10002,1,3,4,1938.7,B001,1,0,S143,2,0,40000,4,19.18,1103,36,0
1,10008,1,3,2,3500,B002,1,1,S143,3,0,59000,5,14.85,1399,62,0
1,10001,1,1,4,10000,B024,0,1,S133,2,0,100000,3,13.75,3406,56,0
1,10031,3,1,4,60000,B003,0,1,S133,2,1500,100000,5,19.18,1103,66,0
1,10004,1,3,1,2050,B006,1,1,S159,3,0,32000,5,18.25,817,58,0
0,10210,3,1,4,15150,B032,0,0,S133,2,3750,40000,4,19.18,1103,68,0
1,10002,1,1,1,5250,B002,1,1,S133,2,0,30000,5,19.18,1103,43,0
0,10005,1,1,4,1550,B003,0,0,S133,2,3.6,40000,4,19.18,1103,49,0
1,10023,2,1,1,4000,B001,1,1,S133,3,0,64000,5,19.18,1103,41,0
0,10003,1,1,4,880,B004,1,0,S133,6,0,40000,4,19.18,1103,63,0
1,10121,3,1,4,4350,B008,0,1,S133,2,0,30000,3,19.18,1103,54,0
1,10162,3,1,4,1550,B020,0,1,S133,2,0,10000,3,20,372,59,0
0,10017,2,1,4,17600,B002,1,0,S122,2,0,40000,4,19.18,1103,43,0
1,10010,1,1,4,5500,B005,1,1,S122,6,0,95000,5,14.85,2253,66,0
1,10005,1,1,4,3000,B011,1,1,S133,3,0,45000,5,19.18,1103,66,0
0,10004,1,2,4,5900,B011,1,0,S133,5,3500,40000,4,19.18,1103,53,0
1,10011,2,1,4,2700,B003,0,1,S133,3,0,40000,5,19.18,1103,37,0
1,10019,2,1,4,3500,B003,0,1,S133,3,0,54000,5,19.18,1103,70,0
0,10006,1,2,4,12000,B005,1,0,S133,2,4910,40000,4,19.18,1103,58,0
1,10002,1,2,2,2298.9,B004,1,1,S133,6,0,36000,5,19.18,1103,33,0
0,10169,3,1,4,2700,B004,1,0,S133,2,1300,40000,4,19.18,1103,35,0
0,10069,3,3,4,1200,B003,0,0,S144,2,0,40000,4,19.18,1103,51,0
0,10004,1,2,4,1200,B002,1,0,S133,3,0,40000,4,19.18,1103,65,0
0,10283,3,1,4,6000,B025,0,0,S134,2,1400,40000,4,19.18,1103,54,0
1,10004,1,1,4,4900,B018,0,1,S133,2,0,50000,3,19.18,1103,32,0
0,10003,1,1,4,1680,B001,1,1,S133,6,0,38000,5,19.18,1103,30,0
0,10030,2,2,4,2824.8,B001,1,0,S133,2,442.4,40000,4,19.18,1103,40,0
1,10001,1,3,4,3200,B002,1,1,S133,5,0,20000,5,16.75,494,35,0
1,10492,3,1,4,3200,B003,0,1,S133,5,0,20000,3,16.75,711,37,0
0,10003,1,1,4,1200,B025,0,0,S122,2,0,40000,4,19.18,1103,42,0
0,10376,3,1,4,3950,B003,0,1,S133,2,550,20000,4,16.5,572,54,0
0,10018,3,1,4,1800,B033,0,1,S133,3,0,40000,5,20,1060,40,0
0,10260,3,1,4,900,B001,1,0,S133,2,200,40000,4,19.18,1103,67,0
1,10140,3,1,4,3000,B001,1,1,S159,2,0,20000,5,24,575,63,0
1,10004,1,2,4,3000,B002,1,1,S123,2,0,30000,3,15.5,1047,68,0
1,10002,1,1,1,10000,B001,1,1,S122,2,0,100000,5,19.18,1103,54,0
1,10001,1,3,4,10050,B001,1,1,S143,2,0,30000,2,14.85,1452,33,0
1,10001,1,2,4,5000,B005,1,1,S133,5,0,30000,3,19.18,1103,48,0
0,10005,1,2,4,1700,B001,1,0,S133,2,0,40000,4,19.18,1103,60,0
1,10005,1,2,4,2000,B001,1,1,S133,2,0,10000,2,19.18,1103,39,0
0,10013,2,1,4,1150,B003,0,0,S133,2,300,40000,4,19.18,1103,67,0
1,10251,3,1,4,2500,B003,0,1,S159,2,0,50000,5,15.75,1209,49,0
1,10434,3,2,4,4500,B003,0,1,S133,2,1500,30000,3,20,1115,67,0
0,10005,1,1,4,8500,B007,0,0,S133,5,1060.8,40000,4,19.18,1103,60,0
1,10002,1,3,4,8000,B001,1,1,S133,2,0,240000,5,13.99,5583,30,0
1,10039,2,1,1,4600,B003,0,1,S134,2,0,50000,5,19.18,1103,55,0
1,10027,1,3,4,2500,B004,1,1,S156,2,0,20000,4,15.75,564,45,0
1,10009,2,2,4,2600,B001,1,1,S133,2,0,20000,4,19,598,31,0
0,10014,2,1,4,1500,B001,1,1,S127,2,0,10000,3,20,372,65,0
1,10003,1,1,4,8300,B014,1,1,S133,3,0,116000,3,19.18,1103,47,0
1,10004,1,1,1,8000,B005,1,1,S159,2,3000,100000,5,13.99,2326,63,0
1,10005,1,3,4,2475,B028,1,1,S133,3,0,36000,5,32.5,1221,46,0
0,10021,2,1,4,5000,B003,0,0,S133,5,2700,40000,4,19.18,1103,52,0
1,10021,2,1,4,5000,B003,0,1,S133,5,0,25000,2,15.5,1218,61,0
1,10001,1,1,4,1888.2,B003,0,1,S159,2,0,20000,3,20,743,69,0
0,10001,1,2,4,1800,B001,1,0,S133,2,600,40000,4,19.18,1103,50,0
1,10007,1,3,4,1600,B006,1,1,S133,2,0,10000,4,20,304,43,0
1,10004,1,2,4,2350,B003,0,1,S122,2,0,10000,2,18.25,500,43,0
0,10011,2,1,4,1300,B016,0,0,S159,2,362.6,40000,4,19.18,1103,68,0
0,10005,1,2,4,2550,B011,1,0,S133,2,1028,40000,4,19.18,1103,51,0
1,10221,3,1,4,2500,B012,0,1,S133,2,0,20000,3,15.75,701,41,0
1,10064,3,1,4,2200,B001,1,1,S151,2,500,30000,5,20,795,37,0
1,10001,1,3,4,2850,B001,1,1,S143,2,0,50000,5,16.75,1236,48,0
1,10004,1,1,4,3000,B001,1,1,S159,2,0,30000,4,19.18,1103,55,0
1,10004,1,2,1,3000,B026,1,1,S122,2,0,10000,3,19.75,370,53,0
1,10008,1,1,1,1700,B004,1,1,S159,3,0,39000,5,19.18,1103,53,0
0,10015,3,1,4,3000,B018,0,1,S133,5,0,40000,4,16.5,1144,43,0
1,10002,1,1,4,2800,B004,1,1,S133,3,0,42000,5,20,1113,56,0
1,10042,3,3,4,3400,B003,0,1,S133,2,490,35000,5,16.75,865,61,0
1,10016,2,2,4,1750,B030,1,1,S133,3,0,39000,5,20,1033,43,0
0,10004,1,1,4,7000,B002,1,0,S159,2,6800,40000,4,19.18,1103,56,0
0,10005,1,2,2,3500,B001,1,1,S133,3,0,59000,5,13,1342,32,0
1,10018,3,3,4,2340,B007,0,1,S159,3,0,34000,5,20,901,52,0
